emotion_id,nrc_term,perma_term,perma_category,perma_score
199,reason,reason,NEG_P,"-0.0141103136
"
199,reason,reason,POS_M,"0.0584053734
"
200,judge,appreciate,POS_R,"0.1201605155
"
200,judge,appreciate,POS_P,"0.0785132346
"
200,judge,judge,NEG_R,"0.0161141004
"
200,judge,judge,NEG_P,"0.025394123
"
200,judge,appreciate,POS_M,"0.0360531163
"
200,judge,appreciate,POS_A,"0.0864094799
"
201,enjoin,will,POS_R,"-0.0200466769
"
201,enjoin,will,POS_P,"0.0166161102
"
201,enjoin,will,NEG_M,"-0.02531448
"
201,enjoin,will,POS_M,"0.1234278001
"
201,enjoin,will,POS_A,"0.0126970389
"
201,enjoin,will,POS_E,"-0.0865169743
"
205,pun,joke,NEG_E,"0.0758595214
"
205,pun,kid,POS_R,"0.0314627363
"
205,pun,wit,POS_R,"0.1331861574
"
205,pun,wit,NEG_R,"0.0288765791
"
205,pun,joke,NEG_R,"0.1052774052
"
205,pun,wit,NEG_P,"0.0233844093
"
205,pun,joke,NEG_P,"0.1031882359
"
205,pun,wit,POS_M,"0.0175464124
"
205,pun,wit,POS_E,"0.0318923973
"
210,epoch,hour,NEG_E,"0.0716886469
"
210,epoch,time,NEG_E,"-0.0190149818
"
210,epoch,hour,NEG_A,"0.0953747058
"
210,epoch,time,NEG_A,"-0.0386731757
"
210,epoch,time,POS_P,"-0.0117939479
"
210,epoch,hour,NEG_R,"0.0893660362
"
210,epoch,hour,NEG_P,"0.1049573313
"
210,epoch,time,POS_M,"0.0185848098
"
210,epoch,time,POS_A,"0.030392187
"
210,epoch,time,POS_E,"0.1777805383
"
210,epoch,hour,POS_E,"0.0778697512
"
211,hurt,hurt,NEG_E,"0.0260852727
"
211,hurt,hurt,NEG_A,"0.0351338042
"
211,hurt,hurt,NEG_M,"0.0399588206
"
211,hurt,hurt,NEG_R,"0.235604177
"
211,hurt,hurt,NEG_P,"0.2177222803
"
213,love,love,NEG_E,"-0.1092015275
"
213,love,like,NEG_E,"0.021545692
"
213,love,love,NEG_A,"-0.1425111774
"
213,love,enjoy,POS_R,"0.051728266
"
213,love,love,POS_R,"0.7837603493
"
213,love,enjoy,POS_P,"0.1258431065
"
213,love,love,POS_P,"0.7654900333
"
213,love,enjoy,NEG_M,"-0.0887765157
"
213,love,love,NEG_M,"-0.1299407449
"
